TIME(Hrs),Hole (Nos),Depth (m),Spacing(m),Burden (m),Stemming(m), Decking(m),Total Drill (RMT),Explosive(kg),Volume(m3),Powder Factor(kg/m3),Av. CPH,MCPD (kg/D),PPV MON,Seis. Dist. (m),A.O.P (dBL)
1:22PM,43,4,3.2,2.8,2.5,NIL,172,450,1541.12,0.3,10.46,10.46,1.36,330,98.8
1:09PM,30,10,3.5,3,3,1/1.5M,300,1275,3150,0.4,42.5,85,3.63,410,120.7
1:18PM,33,8,3.5,3,3,NIL,264,1400,2772,0.5,42.42,42.42,1.25,360,85.1
1:42PM,230,15,3.5,3,2.5,2/1M,3450,20750,36225,0.57,90.22,180.44,5.04,390,132.4
1:38PM,24,10,3.5,3,3,NIL,240,1550,2520,0.59,62.5,62.5,0.73,460,117.6
1:40PM,36,6,3,3,3,NIL,216,875,1944,0.45,24.3,24.3,2.07,270,116
1:16PM,25,15,3.5,3,3,2/1.5M,375,1700,3937.5,0.43,68,136,0.73,400,105.8
1:41PM,51,10,4,3,3,1/1M,510,3100,6120,0.51,60.78,121.56,1.1,390,116.6
1:27PM,24,15,3.5,3,3,2/1.5M,360,1600,3780,0.42,66.66,133.33,0.94,390,91.7
1:19PM,63,15,4.2,3.2,3,2/1M,945,4575,12700.8,0.36,72.61,145.23,2.03,430,123
1:20PM,56,15,2.7,2.5,3,2/1M,840,5350,5670,0.94,95.53,191.07,2.67,360,118
1:21PM,42,7,3,3,3,NIL,294,1175,2646,0.44,27.97,27.97,2.16,290,116
1:16PM,40,14,4,3,3,2/1M,560,3675,6720,0.54,90.87,183.75,2.16,400,100
1:24PM,44,7,3,3,3,NIL,308,1250,2772,0.45,28.4,28.4,NA,NA,NA
1:12PM,90,9,3.5,3,3,NILL,810,5000,8505,0.59,55.55,55.55,3.56,360,110
1:22PM,7,4,3,3,2.5,NILL,28,100,252,0.39,14.28,14.28,NA,360,NA
1:12PM,40,9,3.5,3,3,NILL,360,2250,3780,0.59,56.25,56.25,3.56,350,110
1:04PM,40,6,3.5,3,2.5,NILL,240,1267.6,2520,0.5,31.69,63.38,0.508,420,116
1.07PM,35,12,3.5,3,3,1/1.5m,420,2325,4410,0.52,66.42,132.85,4.32,300,128
1.04PM,35,5,2.5,2,3,NILL,175,750,875,0.85,21.43,21.43,1.14,320,100
5.02PM,75,"6,7",2.3,1.9,3,NILL,487.4,1975,2130,0.92,26.3,52.6,1.52,340,119
1.14PM,52,"4,6",3,3,2.5,NILL,312,1361.12,2664,0.51,26.17,26.17,3.18,320,125
1.22PM,33,"10,11",2.5,1.8,3,1/1m,352,2000,1584,1.26,60.6,60.6,0.762,320,114
1.15PM,48,10.5,3.5,3,3,2/1m,504,3000,5292,0.56,62.5,125,1.02,325,110
1:19PM,20,"10,10.5",3.5,3,2.8,2/1m,205,500,2152.5,0.23,25,50,0.762,315,106
1.47PM,115,"4.5,5",2.8,2.5,3,NILL,540,2125,3780,0.56,18.48,18.48,1.07,330,108.4
1.19PM,15,5,2.5,2,3,NIL,75,250,375,0.61,15.33,15.33,0.579,380,80.1
1.08PM,32,8.5,3.5,3,3,NIL,272,1775,2856,0.62,55.46,55.46,1.65,320,132
1.20PM,45,"10,10.5",3.5,3,3,2/1M,437,2500,4843,0.51,55.55,55.55,3.31,320,111.5
1.39PM,41,"10,15",3,2.5,3,2/1M,512,2250,3843,0.58,54.87,109,1.4,320,103
1.14PM,45,"12,14",3.5,3.2,3,2/1M,699,3250,6708,0.48,72.22,144.44,3.99,325,129
1.12PM,60,8.5,3,3,3,1/1M,510,2125,4590,0.51,35.41,70.82,9.56,280,120
1.15PM,20,4,3,3,2.5,NIL,80,275,720,0.38,13.75,13.75,4.02,300,114
1.21PM,40,13,3.2,2.8,3,2/1M,520,2425,4659.2,0.52,60.62,60.62,12,250,117.8
1.15PM,39,4.4,3,2.5,2.5,NIL,171,500,1287,0.38,12.82,12.82,0.452,400,94.1
1.17PM,80,10,3.2,2.8,3,1/1M,800,3875,3875,0.54,48.43,48.43,2.07,380,128.1
1.18PM,14,8,3,2.5,3,NIL,550,550,840,0.65,39.28,39.28,0.675,475,118.2
1.19PM,73,7,3,2.5,3,NIL,483,2500,3832,0.65,34.24,34.24,0.5,400,112.8
1.14PM,29,8.5,3,2.6,3,NIL,246,1025,1922,0.53,35.34,35.34,0.627,410,92.3
1.15PM,44,8,3,2.5,2.3,NIL,374,1700,2805,0.6,38.63,38.63,2.17,410,117.4
1.32PM,74,5,3,3,3,NIL,370,1125,3330,0.33,15.2,15.2,0.945,420,109.5
1.31PM,46,"8,11",3,3.5,3,1/1M,460,2475,4830,0.51,53.8,107.6,1.82,390,122.2
1.16PM,18,"5.5,6",3.8,2.7,3,NIL,108,500,1108.8,0.45,27.77,27.77,3.2,350,133.3
1.11PM,40,10.5,3,3,3,2/1M,420,2125,3780,0.56,53.12,53.12,0.627,405,116.6
1.27PM,19,"4,6",3,3,3,NIL,95,127.72,855,0.15,6.73,13.45,0.738,390,93.6
1.01PM,58,"5,14",3.5,3,3,2/1M,565,3278,5932,0.55,56.51,113.03,0.833,375,97.4
1.02PM,70,"10,11",3.2,2.8,2.5,1/1M,770,4675,6899.2,0.67,66.78,66.78,0.675,420,83.4
1.06PM,37,15,3.5,3,3,1/1.5M,555,2700,5827,0.46,72.97,145.94,1.01,380,83.4
1.08PM,30,"14,15",3.5,3,3,2/1.5M,420,2100,4567.5,0.45,70,140,1.4,350,93
1.16PM,26,10,3.5,3,3,1/1.5M,260,1375,2730,0.5,52.88,105.7,0.754,390,88.2
1.15PM,36,10,3,3,3,1/1.5M,360,1575,3240,0.48,43.75,87.5,1.6,360,92.3
1.17PM,47,"5,7",2.8,2.5,3,NIL,314.5,1250,2201.5,0.57,26.6,26.6,2.58,340,121.1
1.15PM,26,6,3,2.5,3,NIL,156,725,1170,0.61,25,50,1.28,340,112.4
1.20PM,9,10,1.5,1.5,3,1/1M,90,325,202,1.6,36.11,36.11,NA,350,NA
5.25PM,27,10,3.2,2.5,3,1/1m,270,1425,2160,0.65,52.78,52.78,1.1,390,114
1.23PM,33,15,3.5,3,3,2/1.5m,495,2975,5197.5,0.57,90.15,180.3,2.42,340,115
1.26PM,53,7,3,3,3,NILL,371,1825,3339,0.54,34.43,68.86,2.55,380,115.3
1.04PM,48,"10,11",4,3,3,1/1.5m,504,3367,6048,0.55,70.14,140.29,4.06,395,123.4
1.04PM,48,"10,11",4,3,3,1/1.5M,504,3367,6048,0.55,70.14,140.29,4.06,395,123.4
1.20PM,29,8.5,3,3,3,1/1m,246.5,1225,2218,0.55,42.24,42.24,3.43,350,118
1.21PM,32,7,3,3,3,NILL,224,1050,2016,0.52,32.18,32.18,2.79,340,118
1.30PM,135,15,4,3,3,2/1m,2025,11350,24300,0.46,84.07,84.07,9.82,310,136
1.12PM,40,15,3,3,3,2/1.5m,600,3050,5400,0.56,76.35,152.5,3.44,320,103.3
1.23PM,20,"12,13",3.5,3,3,1/1.5m,256,1500,2730,0.54,75,150,2.16,380,110
1.18PM,56,"5,5.5",3,2.8,3,NILL,293,1000,2461.2,0.41,17.86,35.72,2.48,410,118.5
1.18PM,54,5,3,2.8,3,NILL,270,1000,2268,0.44,18.52,37.04,2.48,410,118.5
1.19PM,66,"13,14",3.5,3,3,2/1m,891,5250,9355.5,0.56,79.54,159.09,0.627,390,113.2
1.14PM,81,"4,5,6,7",3,2.5,2.5,NILL,463,1875,3472.5,0.53,23.14,46.28,1.94,360,112.6
1.02PM,27,11,3.5,3,3,1/1.5m,297,1675,3118.5,0.53,62.03,124.07,3.02,390,93.6
1.09PM,33,7,3,3,3,NILL,231,1009,2079,0.48,30.58,30.58,3.29,360,119.1
1.13PM,26,7,3,3,3,NILL,182,1025,1638,0.62,39.4,78.84,1.17,380,98.8
1.17PM,30,6,3,3,3,NILL,180,750,1620,0.46,25,25,1.52,350,123.9
1.11PM,92,8,3.2,2.8,3,NILL,736,3050,6594.56,0.46,33.15,66.3,2.06,320,103.8
1.15PM,63,15,4,3,3,2/1m,945,5000,11340,0.44,79.36,158.72,1.87,380,99.9
1.13PM,25,4,3,2.5,2.5,NILL,100,275,750,0.37,11.12,22.24,1.42,410,89.2
1.08PM,74,"10,10.5",4,3,3,1/1m,758.5,4500,9102,0.49,60.81,121.62,2.03,380,117
1.17PM,120,10,4,3,3,1/1m,1200,5175,14400,0.35,43.125,43.125,2.03,360,112
1.20PM,46,"6,8",3.3,2.8,3,NILL,`336,1625,3104,0.52,35.32,70.65,1.52,380,116
1.15PM,45,"6,8",3,3,3,NILL,286,1275,2835,0.44,28.33,28.33,1.1,350,113.1
1.08PM,18,5.5,3,3,2.5,NILL,99,400,891,0.44,22.22,22.22,0.786,340,107.5
1.18PM,35,8.5,3,3,3,1/1m,297.5,1450,2677.5,0.54,41.42,82.84,0.818,350,107
1.19PM,92,"4,4.5,5.5,6",3,2.8,3,NILL,465,1700,3906,0.43,18.47,18.47,0.96,360,116.5
1.22PM,46,13,3,3,3,2/1m,598,2750,5382,0.51,59.78,119.5,1.74,360,108.8
5.41PM,74,"10,12",3.5,3,3,1/1m,810,2750,8505,0.32,37.16,74.32,2.39,340,120.1
